ASSESSMENT_START_TIME;FINDING_UNIQUE_ID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_DETAILS;RESOURCE_TAGS;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_RECOMMENDATION_CODE_NATIVEIAC;REMEDIATION_RECOMMENDATION_CODE_TERRAFORM;REMEDIATION_RECOMMENDATION_CODE_CLI;REMEDIATION_RECOMMENDATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROFILE;ACCOUNT_ID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ARN;ACCOUNT_ORG;ACCOUNT_TAGS;REGION;RESOURCE_ID;RESOURCE_ARN
2025-04-19T21:54:15.400776;prowler-aws-account_maintain_current_contact_details-891377253157-us-east-1-891377253157;aws;account_maintain_current_contact_details;Maintain current contact details.;IAM;INFO;Manual check: Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;account;;medium;Other;;;Maintain current contact details.;"Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details; and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner; AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation; proactive measures may be taken; including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.";;Using the Billing and Cost Management console complete contact details.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;No command available.;https://docs.bridgecrew.io/docs/iam_18-maintain-contact-details#aws-console;AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | ENS-RD2022: op.ext.7.aws.am.1 | CIS-1.5: 1.1 | CIS-1.4: 1.1 | CIS-2.0: 1.1;;;;;;891377253157;;;;;;us-east-1;891377253157;arn:aws:iam::891377253157:root
2025-04-19T21:54:15.400776;prowler-aws-account_maintain_different_contact_details_to_security_billing_and_operations-891377253157-us-east-1-891377253157;aws;account_maintain_different_contact_details_to_security_billing_and_operations;Maintain different contact details to security, billing and operations.;IAM;FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;account;;medium;Other;;;Maintain different contact details to security, billing and operations.;"Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details; and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner; AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation; proactive measures may be taken; including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.";https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;Using the Billing and Cost Management console complete contact details.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;;https://docs.bridgecrew.io/docs/iam_18-maintain-contact-details#aws-console;;;;;;;891377253157;;;;;;us-east-1;891377253157;arn:aws:iam::891377253157:root
2025-04-19T21:54:15.400776;prowler-aws-account_security_contact_information_is_registered-891377253157-us-east-1-891377253157;aws;account_security_contact_information_is_registered;Ensure security contact information is registered.;IAM;INFO;Manual check: Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;account;;medium;Other;;;Ensure security contact information is registered.;AWS provides customers with the option of specifying the contact information for accounts security team. It is recommended that this information be provided. Specifying security-specific contact information will help ensure that security advisories sent by AWS reach the team in your organization that is best equipped to respond to them.;;Go to the My Account section and complete alternate contacts.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;No command available.;https://docs.bridgecrew.io/docs/iam_19#aws-console;AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | ENS-RD2022: op.ext.7.aws.am.1 | CIS-1.5: 1.2 | CIS-1.4: 1.2 | CIS-2.0: 1.2 | AWS-Foundational-Security-Best-Practices: account, acm;;;;;;891377253157;;;;;;us-east-1;891377253157;arn:aws:iam::891377253157:root
2025-04-19T21:54:15.400776;prowler-aws-account_security_questions_are_registered_in_the_aws_account-891377253157-us-east-1-891377253157;aws;account_security_questions_are_registered_in_the_aws_account;Ensure security questions are registered in the AWS account.;IAM;INFO;Manual check: Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;account;;medium;Other;;;Ensure security questions are registered in the AWS account.;The AWS support portal allows account owners to establish security questions that can be used to authenticate individuals calling AWS customer service for support. It is recommended that security questions be established. When creating a new AWS account a default super user is automatically created. This account is referred to as the root account. It is recommended that the use of this account be limited and highly controlled. During events in which the root password is no longer accessible or the MFA token associated with root is lost/destroyed it is possible through authentication using secret questions and associated answers to recover root login access.;;Login as root account and from My Account configure Security questions.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-security-challenge.html;;;No command available.;https://docs.bridgecrew.io/docs/iam_15;AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | ENS-RD2022: op.ext.7.aws.am.1 | CIS-1.5: 1.3 | CIS-1.4: 1.3 | CIS-2.0: 1.3;;;;;;891377253157;;;;;;us-east-1;891377253157;arn:aws:iam::891377253157:root
2025-04-19T21:54:15.400776;prowler-aws-athena_workgroup_encryption-891377253157-us-east-1-primary;aws;athena_workgroup_encryption;Ensure that encryption at rest is enabled for Amazon Athena query results stored in Amazon S3 in order to secure data and meet compliance requirements for data-at-rest encryption.;Software and Configuration Checks;FAIL;Athena WorkGroup primary does not encrypt the query results.;athena;;medium;WorkGroup;;;Ensure that encryption at rest is enabled for Amazon Athena query results stored in Amazon S3 in order to secure data and meet compliance requirements for data-at-rest encryption.;If not enabled sensitive information at rest is not protected.;https://docs.aws.amazon.com/athena/latest/ug/encryption.html;Enable Encryption. Use a CMK where possible. It will provide additional management and privacy benefits.;https://docs.aws.amazon.com/athena/latest/ug/encrypting-query-results-stored-in-s3.html;;https://docs.bridgecrew.io/docs/ensure-that-athena-workgroup-is-encrypted#terraform;aws athena update-work-group --region <REGION> --work-group <workgroup_name> --configuration-updates ResultConfigurationUpdates={EncryptionConfiguration={EncryptionOption=SSE_S3|SSE_KMS|CSE_KMS}};https://www.trendmicro.com/cloudoneconformity/knowledge-base/aws/Athena/encryption-enabled.html;;encryption;;;;;891377253157;;;;;;us-east-1;primary;arn:aws:athena:us-east-1:891377253157:workgroup/primary
2025-04-19T21:54:15.400776;prowler-aws-athena_workgroup_encryption-891377253157-us-west-2-primary;aws;athena_workgroup_encryption;Ensure that encryption at rest is enabled for Amazon Athena query results stored in Amazon S3 in order to secure data and meet compliance requirements for data-at-rest encryption.;Software and Configuration Checks;FAIL;Athena WorkGroup primary does not encrypt the query results.;athena;;medium;WorkGroup;;;Ensure that encryption at rest is enabled for Amazon Athena query results stored in Amazon S3 in order to secure data and meet compliance requirements for data-at-rest encryption.;If not enabled sensitive information at rest is not protected.;https://docs.aws.amazon.com/athena/latest/ug/encryption.html;Enable Encryption. Use a CMK where possible. It will provide additional management and privacy benefits.;https://docs.aws.amazon.com/athena/latest/ug/encrypting-query-results-stored-in-s3.html;;https://docs.bridgecrew.io/docs/ensure-that-athena-workgroup-is-encrypted#terraform;aws athena update-work-group --region <REGION> --work-group <workgroup_name> --configuration-updates ResultConfigurationUpdates={EncryptionConfiguration={EncryptionOption=SSE_S3|SSE_KMS|CSE_KMS}};https://www.trendmicro.com/cloudoneconformity/knowledge-base/aws/Athena/encryption-enabled.html;;encryption;;;;;891377253157;;;;;;us-west-2;primary;arn:aws:athena:us-west-2:891377253157:workgroup/primary
2025-04-19T21:54:15.400776;prowler-aws-athena_workgroup_enforce_configuration-891377253157-us-east-1-primary;aws;athena_workgroup_enforce_configuration;Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.;Software and Configuration Checks;FAIL;Athena WorkGroup primary does not enforce the workgroup configuration, so it can be overridden by the client-side settings.;athena;;medium;WorkGroup;;;Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.;If workgroup configuration is not enforced security settings like encryption can be overriden by client-side settings.;https://docs.aws.amazon.com/athena/latest/ug/workgroups-settings-override.html;Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.;https://docs.aws.amazon.com/athena/latest/ug/workgroups-settings-override.html;https://docs.bridgecrew.io/docs/bc_aws_general_33#cloudformation;https://docs.bridgecrew.io/docs/bc_aws_general_33#terraform;aws athena update-work-group --region <REGION> --work-group <workgroup_name> --configuration-updates EnforceWorkGroupConfiguration=True;;;;;;;;891377253157;;;;;;us-east-1;primary;arn:aws:athena:us-east-1:891377253157:workgroup/primary
2025-04-19T21:54:15.400776;prowler-aws-athena_workgroup_enforce_configuration-891377253157-us-west-2-primary;aws;athena_workgroup_enforce_configuration;Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.;Software and Configuration Checks;FAIL;Athena WorkGroup primary does not enforce the workgroup configuration, so it can be overridden by the client-side settings.;athena;;medium;WorkGroup;;;Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.;If workgroup configuration is not enforced security settings like encryption can be overriden by client-side settings.;https://docs.aws.amazon.com/athena/latest/ug/workgroups-settings-override.html;Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.;https://docs.aws.amazon.com/athena/latest/ug/workgroups-settings-override.html;https://docs.bridgecrew.io/docs/bc_aws_general_33#cloudformation;https://docs.bridgecrew.io/docs/bc_aws_general_33#terraform;aws athena update-work-group --region <REGION> --work-group <workgroup_name> --configuration-updates EnforceWorkGroupConfiguration=True;;;;;;;;891377253157;;;;;;us-west-2;primary;arn:aws:athena:us-west-2:891377253157:workgroup/primary
2025-04-19T21:54:15.400776;prowler-aws-awslambda_function_invoke_api_operations_cloudtrail_logging_enabled-891377253157-us-east-1-ModLabRole;aws;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;Check if Lambda functions invoke API operations are being recorded by CloudTrail.;;FAIL;Lambda function ModLabRole is not recorded by CloudTrail.;lambda;;low;AwsLambdaFunction;;;Check if Lambda functions invoke API operations are being recorded by CloudTrail.;"If logs are not enabled; monitoring of service use and threat analysis is not possible.";https://docs.aws.amazon.com/lambda/latest/dg/logging-using-cloudtrail.html;Make sure you are logging information about Lambda operations. Create a lifecycle and use cases for each trail.;https://docs.aws.amazon.com/lambda/latest/dg/logging-using-cloudtrail.html;;;;;AWS-Well-Architected-Framework-Security-Pillar: SEC04-BP01 | AWS-Well-Architected-Framework-Reliability-Pillar: REL06-BP01;forensics-ready;;;;;891377253157;;;;;;us-east-1;ModLabRole;arn:aws:lambda:us-east-1:891377253157:function:ModLabRole
2025-04-19T21:54:15.400776;prowler-aws-awslambda_function_invoke_api_operations_cloudtrail_logging_enabled-891377253157-us-east-1-RedshiftEventSubscription;aws;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;Check if Lambda functions invoke API operations are being recorded by CloudTrail.;;FAIL;Lambda function RedshiftEventSubscription is not recorded by CloudTrail.;lambda;;low;AwsLambdaFunction;;;Check if Lambda functions invoke API operations are being recorded by CloudTrail.;"If logs are not enabled; monitoring of service use and threat analysis is not possible.";https://docs.aws.amazon.com/lambda/latest/dg/logging-using-cloudtrail.html;Make sure you are logging information about Lambda operations. Create a lifecycle and use cases for each trail.;https://docs.aws.amazon.com/lambda/latest/dg/logging-using-cloudtrail.html;;;;;AWS-Well-Architected-Framework-Security-Pillar: SEC04-BP01 | AWS-Well-Architected-Framework-Reliability-Pillar: REL06-BP01;forensics-ready;;;;;891377253157;;;;;;us-east-1;RedshiftEventSubscription;arn:aws:lambda:us-east-1:891377253157:function:RedshiftEventSubscription
